rating,date,option,content,emotion
5,2025.06.03,[옵션] 퓨어 오차드 향,"향기 너무 마음에 들어서 올 여름 이것만 쓸 거 같아요
청순하고 은은하니 마음에 듭니다",슬픔
5,2025.05.25,[옵션] 로지 아우라 향,향이 너~~~무 조아요!! 고급지고 계속 맡고싶은 향 ㅠㅠ 다른것도 구매해보려구요 진짜 개객개ㅐ좋아요,슬픔
5,2025.05.07,[옵션] 퓨어 오차드 향,원피스를 입어야 할거 같은 향이에요~ 기분전환에 도움이 되요 아침에 출근할때 뿌리고 나면 잔향도 은은하게 남아요,분노
5,2025.05.07,,"향이 미쳤네요 호불호도 없을거 같고 은은하게 나면서 주변에서 벌써 뭐 뿌렸냐고 물어보네요
박스 포장이나 제품 디자인이나 흠잡을곳이 없습니다
지속력은 살짝 아쉬워요",슬픔
5,2025.05.04,[옵션] 로지 아우라 향,"로지 아우라 향을 구매해 보았어요
어노브 제품 요즘 핫 하더라구요. 퍼퓸이 정말 궁금했는데, 뿌리고 나서 오랫동안 잔 향이 정말 좋아요.
원래 장미향은 좋아했는데 이런 느낌이 장미향이면 또 구매해 보고 싶어요",슬픔
5,2025.05.02,,"체험단에서 어노브 퍼퓸만 벌써 두번째 신청했는데 이번에도 로지 아우라 향이 와서 넘 좋았어요,인위적인 향이 아니고 은은한 향이라서 데일리로 뿌리기 좋아요",분노
5,2025.05.02,,상자가 한번 밑 부분이 뚜껑에 들어가면 아주 빼내기 어렵다는 점을 제외하면 참 마음에 드는구려. 가격대비 용량이 많지는 않으나 향이 다른곳에서 맡아보지 못한 향이라 좋았소.,슬픔
5,2025.05.01,,"향을 잘 표현을 못하겠는데 가격대 좀 있는 10만원대 이상의 향이 나요
가벼운 세탁향이랑 거리가 멀고 유명한 ㄹㅇㅈ 선데이 향이랑 비슷한거 같아요
중성적인 향이고 캐쥬얼보다 셔츠를 깔끔하게 넣입한 사람의 향이에요",슬픔
5,2025.06.02,[옵션] 퓨어 오차드 향,"케이스도 넘나 이쁘고, 좋아하는 향이라서 요즘 최애 향수에요 !",슬픔
5,2025.06.02,[옵션] 로지 아우라 향,패키지도 이쁘고 향도 전체적으로 괜찮은거 같아요 처음 뿌렸을때는 알코올 향이 많이 나는데 기다리면 은은하게 장미향이 나면서 좋더라구요 처음 사용해보는 향이라서 기분전환하기 좋아요 !!!,슬픔
5,2025.05.31,[옵션] 퓨어 오차드 향,퓨어오차드랑 앰버그레이스 고민했는데 퓨어오차드 구매했어요!! 남자친구가 좋아해요 ㅎㅎ,슬픔
5,2025.05.11,[옵션] 센슈얼 화이트 향,"센슈얼 화이트라는 향이 궁금해서 사 봤는데 파우더 향과 플로럴 냄새가 섞인 깨끗한 냄새에요
지속력도 괜찮고 깔끔하게 뿌리기 좋았던 향이었어요ㅎㅎ
그동안 어노브 제품은 헤어오일로 밖에 접해 보지 않았는데 찾아 보니까 헤어 미스트도 있고 이렇게 향수도 출시 됐더라구요,,
향이 은은하니 잔향이 지속되서 가볍게 쓰기 좋을 것 같고 겉용기가 플라스틱으로 되어 있어 혹시라도 놓치게 돼도 깨지지 않는다는 점이 제일 마음에 드네요!!",슬픔
5,2025.05.10,[옵션] 로지 아우라 향,어노브 샴푸와 트리트먼트 잘 쓰고 있는데 향수도 나와서 구입해 보았습니다. 용량은 25ml로 한손에 쏙 들어오는 사이즈인데 분사를 많이 한다면 금방 쓸것 같아서 그 부분은 조금 아쉽지만 가지고 다니기는 좋은 사이즈에요. 로지아우라향은 어노브 메인향 같은 느낌인데 장미향 물씬 나면서 여성스럽고 오묘한향이에요. 추천합니다.,분노
5,2025.05.09,[옵션] 로지 아우라 향,"제품받고 넘 사랑스러운 디자인에 감탄이^^♡
고급스러우면서 사랑스러운 디자인만큼 향도 너무 사랑스러웠어요. 로지 아우라를 선택했는데 다른 향도 충분히 매력적인 향일것같아 구매하려구요.
로즈향과 베리향이 조화를 이뤄 무겁지않고 사랑스러운 향을 발산하네요. 게다가 러블리한 파우치 선물까지♡뭐야~~선물용으로도 적극 추천입니다.
사춘기 딸아이가 보더니 욕심을 내서 뺐겼답니다.
슬프지만 다른향으로 또 구매하려구요.",슬픔
5,2025.05.09,[옵션] 앰버 그레이스 향,"평소 딥디×향이나, 조말×,향수같은 중성적인 향을 좋아하는 1인으로써! 어노브 오드퍼퓸 4가지 향 중 에서는 무조건
엠버그레이스가 내가좋아할 향이구나 싶었어요.
우디하면서도 머스크향과 파우더리한 향이 섞여서~ 첫향은
살짝 남자 고급스킨향같은 느낌이지만 잔향은 또 따뜻한 느낌이 나요! 첫향 중간향 잔향까지 완벽한 느낌의 퍼퓸!
샘플 2종부터 고급스러운 파우치까지! 특별한날 친구나, 연인에게 선물해주기 좋은 퍼퓸이랍니다.
달콤하고 꽃향 이쪽계열을 좋아하지않는 중성적인 향을 좋아하시는 분들께 추천해요",분노
5,2025.05.09,[옵션] 오우드 인디고 향,"오우드 인디고향은 진짜 고급지며 중성적인향과 조금 무게감이 있어요. 그래서 너무 많이 뿌지면 머리와 코가 쪼끔 아플 수 있으니 정말 톡!톡!톡! 뿌리시는 걸 추천합니다. 그래야 잔향이 오래가거든요!
향수를 살 때 향도 너무 중요하지만 저는 향수를 담고 있는 병도 안 볼 수 없는 것 같아요! 디자인도 예쁘고 손에 착 감기는게 뭔가 향수를 안쓰면 엇 맞다. 오늘 어노브 향수 안뿌리고 왔구나 생각이 들더라고요. 그래서 중요한 날이나 회의가 있을 때는 꼭 뿌리고 가고 선물용으로 줘도 색과 디자인이 고급지다보니 선물용으로 하면 딱일 것 같아서 언니 생일날 선물로 준비해볼려고 해요!",분노
5,2025.05.08,[옵션] 퓨어 오차드 향,"어노브 샴푸 써본적 있었는데 향이 참 좋았던걸 기억하고 있었던 터라 이번에도 향이 괜찮겠거니 기대를 하고 샀어요🙂
패키지는 미니미하고 컴팩트한 귀여운 타입의 용기이고,
휴대성이 좋을 것 같아 들고 다니기 좋을 것 같아요!

향은 라인업에 다섯 종류가 있길래 제일 취향일 것 같은걸 골랐는데·· 평소에 원래 그리니쉬하거나 화이트 플라워 계열을 좋아하는지라 취향에 딱 맞았어요🤍
예전에 페라가모 인칸토 참을 쓴 적이 있는데, 인칸토 참은 팡팡튀고 밝은 풍선껌 느낌이라면 어노브의 퓨어 오차드는 비슷한 베이스이지만 보다 더 분위기 있는 버전같다는 첫 인상을 받았어요🪻 저녁 데이트 있는 날 쓰면 어울릴 것 같아요💜
그리고 다른 향들이랑 레이어드 해서 쓰기도 좋을 것 같아서 그렇게 써보려구요!

딱 지금 계절에 쓰기 좋을것 같은 향수에요😊",분노
5,2025.05.08,[옵션] 퓨어 오차드 향,퓨어오차드향 구매했습니다! 처음에는 가격이 좀 비싸다고 생각했는데 향이 엄청 고급지고 지속력도 엄청 좋아요!! ㅎㅎ 향 너무 좋아서 액괴에도 넣어서 만지는데 만지고 손 비누로 빡빡씻어도 향 안 날라가요 대박임. 진짜 스트레스 확 풀리는 향이에요ㅠ 원래 사용하던 유명한 바디퍼퓸은 너무 향 금방 날아가서 가지고 다니면서 매번 뿌려줬는데 이렇게 향 지속력 긴 향수 처음보네요 너무 좋아요ㅠㅠ 아침에 한 번 뿌리고 저녁에 뿌려주면 좋을거 같아요. 향도 쎈 편 아니고 은은하게 퍼지는향이라 저는 향에 예민한데 머리 아픔 없어요! 분사도 되게 연하면서 강하게 분사되어서 정말 좋은거 같습니다. 다른 향도 구매하고싶네요ㅠㅠ 근데 퓨어 오차드향이 진짜 고트라 다른향구매말고 또 이 량 구매할거 같아요. 약간 꽃향기랑 배향기 섞인 너무 좋음,분노
5,2025.04.15,[옵션] 로지 아우라 향,"로지아우라의 매혹적인 향이 피부에 닿는 순간, 달콤한 장미와 프리지아가 어우러진 봄날의 정원이 떠올랐어요. 은은하게 퍼지는 머스크와 앰버의 잔향이 우아하면서도 관능적인 매력을 더해주죠.

제가 발견한 특별한 사용팁은 손목에 뿌린 후 귀 뒤쪽에도 살짝 터치해주면 향이 더욱 오래 지속된다는 거예요. 특히 데이트나 특별한 모임 전에 활용하면 자신감이 더해져요.

고급스러운 유리 보틀 디자인과 섬세한 패키지는 소장가치를 높여주어 선물용으로도 손색없답니다. 향수 컬렉터들도 만족할만한 품격있는 디테일이 돋보여요.",슬픔
5,2025.04.14,[옵션] 앰버 그레이스 향,향수라는 게 자기 표현 방식이기도 하고 기분을 좌우한다고 생각하는데 패키지가 정말 고급스러워서 마치 선물 받은 기분이 들더라구요 그것부터가 기분을 좋게했어요 진짜 선물로도 좋을 것 같아요 향 종류도 다양하고 이미지에 맞게 어울리는 향들이 있어서 선택하기도 좋아요 향이 독하지 않고 은은하게 오래 지속되는 편이에요 흔하지 않아서 더 좋았어요 저는 주로 머리카락 끝에 한번 더 뿌리는데 바람에 날릴 때 향이 풍겨서 좋더라구요,분노
5,2025.04.25,[옵션] 로지 아우라 향,"처음 로지아우라 향을 맡았을 때, 마치 따뜻한 햇살 아래 조용한 로즈 가든을 거니는 느낌이 들었는데요! 부드럽고 고운 장미 향이 은은하게 퍼지면서, 그 뒤로 머스크와 우디한 잔향이 자리잡는 느낌..? 단순한 플로럴이 아니라, 깊이 있고 세련된 무드가 느껴지는 향이더라고요.
시간이 지날수록 피부 온도에 따라 더 부드럽고 따뜻하게 변하는데, 그 변화가 정말 매력적이에요. 우아하면서도 은근히 중독성 있는 향. 데일리로도, 특별한 날에도 잘 어울릴 것 같아요.
패키지도 좋고 예뻐서 선물용으로도 좋아요. 남자친구가 향에 예민한 편인데 합격했어요!! ㅎㅎㅎ",분노
5,2025.05.28,[옵션] 퓨어 오차드 향,날씨가 살랑살랑->더워지고 있어서 가벼운 배향이 너무 좋아요.,슬픔
5,2025.05.27,[옵션] 로지 아우라 향,향은 좋은데 생각보다 지속력은 약한것 같아서 아쉬워요..,분노
5,2025.05.09,[옵션] 로지 아우라 향,"인생향수 찾았다💓

우아하면서 사랑스러운 향수로
너무 매력적이에요!!

발랄한 느낌도 나서 캐주얼, 페미닌 룩 어디든 잘 어울리고 계절 상관없이 4계절 모두 사용하기 좋은 향수에요
흔한 플로럴계열의 향이 아니라서 더 좋아❣️",분노
5,2025.05.04,[옵션] 로지 아우라 향,"로지아우라 향 구매했습니다
바틀이 우선 너무 예뻐요ㅠㅠ
어디든 들고 다니고 싶은 감각적 디자인이라 향도 로지아우라 선택했는데 이번 봄 향수로 완볃한 향수 인것 같네요",슬픔
5,2025.05.03,[옵션] 로지 아우라 향,향이너무은은하니오래지속되니. 하루종일너무기분좋게다녀요^^역시여자는로즈향인가봐요...,슬픔
5,2025.04.27,[옵션] 로지 아우라 향,"향이 5가지라 본인의 취향 및 그 날의 룩에 따른 향을 선택해 사용할 수 있어요
향을 뿌린 뒤 문지르지 않고 사용하면 그 향의 느낌을 제대로 느낄 수 있으니 이렇게 사용해보세요",슬픔
5,2025.06.08,[옵션] 퓨어 오차드 향,엄청 특이하거나 고급스러운 향은 아닌데 무난하고 괜찮은 상큼한 향이예요,슬픔
5,2025.05.14,[옵션] 퓨어 오차드 향,향을 맡으면 많이 달달하지않고 좋았습니다 지속도 짧지 않아서 만족합니다,슬픔
5,2025.04.26,[옵션] 퓨어 오차드 향,생각보다 흔한 향이라 아숩네요.. 지속력도 그냥 보통??,슬픔
5,2025.04.13,[옵션] 퓨어 오차드 향,"향 설명 보자마자 바로 퓨어오차드로 골랐는데
기분 좋아지는 프루티 플로럴 향으로
밝은 느낌으로 서양배와 베르가못의 상큼하니 싱그러워서
봄에도 잘 어울리고 여름 향수로도 호불호없이 좋을 향이었어요!

은은한 잔향이 좋고 지속력도 생각보다 길고
기분 좋아지는 향이라 요즘 데일리 향수로 잘 쓰고 있구요!

손목에 뿌리고 문지르지말고 톡톡 두드려 바르면 그 향 그대로 느낄수 있어서 좋더라구요!

패키지가 예뻐서 주변 향수 선물할때 어노브로 하려해요!

향이 5가지 있어서 그날 그날 코디나 기분에 따라 사용하기 좋겠다싶어서 하나씩 모아봐야겠어요!",슬픔
5,2025.04.13,[옵션] 퓨어 오차드 향,"다가올 여름, 데일리용으로 가볍게 쓸 향수를 찾다가 구매했어요.
첫 향은 서양배랑 베르가못이 어우러져서 상큼하고 청량하게 나더라구요. 그런데 단순한 과일향만 있는 게 아니라,
시간이 지나면서 은은한 꽃향처럼 부드럽게 변하면서 잔향이 깔끔하게 남아서 딱 마음에 들어요.

무겁지 않고 가볍게 뿌릴 수 있는 향이라
땀나는 여름철에도 부담 없이 데일리로 쓰기 좋아겠어요.
잔향은 머스크이 은근하게 오래 남는데,
딱 좋은 향으로 진하지 않고 가볍게 남아 마음에 쏙 들어요.

시크하거나 진한 향보단,
맑고 자연스러운 향 좋아하시는 분들께 추천드리고 싶어요.
첫 향~잔향 흐름이 자연스럽고, 계절감도 잘 맞아서 여름용 향수로 딱이에요!

향수 케이스랑 포장도 깔끔한게 선물용으로도 딱! 향도 호불호 없을듯요.",슬픔
5,2025.04.13,[옵션] 로지 아우라 향,"특별한 날에 사용하기에도 좋지만 데일리 향수로도 사용하기 좋아요.
저는 로지 아우라로 선택했는데, 플로럴 향이 사랑스럽게 나요.
데이트할때 좀 자주 사용하는데 남자친구가 향수 바꾼게 훨 낫다고하네요!
분사력도 좋고.. 외출하기 전에 뿌리고 나가서 귀가할때까지도
은은하게 잔향감이 남아있어서 지속력도 굉장히 만족스럽네요.
패키지도 이뻐서 나중 지인 생일때 선물해줘도 좋을 것 같아요~",분노
5,2025.04.12,[옵션] 로지 아우라 향,"봄에 어울리는 싱그럽고 고급스러운 로즈향이네요!
봄에 어울릴만한 향수 찾고 있었는데 픽하길 잘한거 같아요
어노브 패키징도 너무 감각적이고 예쁘고\
선물하기도 참 좋은 것 같아요
헤어도 어노브 제품쓰고 있는데
어노브향도 너무 고급스럽게 잘뽑아요
로즈향이 굉장히 여성스럽고 고급스러워요
잔향도 대박 부드럽고 은은하니 기분이 좋아지는향입니다^^",슬픔
5,2025.04.13,[옵션] 앰버 그레이스 향,향이 진짜 골저스. 어노브에서 퍼퓸이 나온다고 해서 정말 기대를 많이 했었어요 ! 우선 박스랑 보틀이 너무 이뻐서 화장대에 올려두기에도 만족스러운 디자인 ! 그리고 향이 정말 시트러스 향과 우디향이 적절하게 섞여서 우아하면서도 사계절에 어울리는 향수에요 ! 지속력도 아침에 뿌리고 가도 종일 은은하게 가요 ! 선물하기에도 정말 좋은 패키지 ! 저는 추천합니다 !,분노
